111,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
110,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
109,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
108,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
107,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
106,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
105,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
104,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
103,HAWAII,100,ABERCROMBIE,-0.457,1,-0.102
106,Michigan,200,ABRAHAM,0.314,0,-0.244
105,Michigan,200,ABRAHAM,0.314,0,-0.244
104,Michigan,200,ABRAHAM,0.314,0,-0.244
112,New York,100,ACKERMAN,-0.454,5,-0.239
111,New York,100,ACKERMAN,-0.454,5,-0.239
110,New York,100,ACKERMAN,-0.454,5,-0.239
109,New York,100,ACKERMAN,-0.454,5,-0.239
108,New York,100,ACKERMAN,-0.454,5,-0.239
107,New York,100,ACKERMAN,-0.454,5,-0.239
106,New York,100,ACKERMAN,-0.454,5,-0.239
105,New York,100,ACKERMAN,-0.454,5,-0.239
104,New York,100,ACKERMAN,-0.454,5,-0.239
103,New York,100,ACKERMAN,-0.454,5,-0.239
112,FLORIDA,200,ADAMS,0.594,24,-0.108
112,ALABAMA,200,ADERHOLT,0.379,4,0.468
111,ALABAMA,200,ADERHOLT,0.379,4,0.468
110,ALABAMA,200,ADERHOLT,0.379,4,0.468
109,ALABAMA,200,ADERHOLT,0.379,4,0.468
108,ALABAMA,200,ADERHOLT,0.379,4,0.468
107,ALABAMA,200,ADERHOLT,0.379,4,0.468
106,ALABAMA,200,ADERHOLT,0.379,4,0.468
105,ALABAMA,200,ADERHOLT,0.379,4,0.468
111,New Jersey,100,ADLER,-0.124,3,0.12
112,HAWAII,100,AKAKA,-0.433,0,0.292
111,HAWAII,100,AKAKA,-0.433,0,0.292
110,HAWAII,100,AKAKA,-0.433,0,0.292
109,HAWAII,100,AKAKA,-0.433,0,0.292
108,HAWAII,100,AKAKA,-0.433,0,0.292
107,HAWAII,100,AKAKA,-0.433,0,0.292
106,HAWAII,100,AKAKA,-0.433,0,0.292
105,HAWAII,100,AKAKA,-0.433,0,0.292
104,HAWAII,100,AKAKA,-0.433,0,0.292
103,HAWAII,100,AKAKA,-0.433,0,0.292
112,missouri,200,AKIN,0.633,2,0.04
111,missouri,200,AKIN,0.633,2,0.04
110,missouri,200,AKIN,0.633,2,0.04
109,missouri,200,AKIN,0.633,2,0.04
108,missouri,200,AKIN,0.633,2,0.04
107,missouri,200,AKIN,0.633,2,0.04
112,louisiana,200,ALEXANDER,0.357,5,0.235
112,Tennessee,200,ALEXANDER,0.331,0,-0.287
111,louisiana,200,ALEXANDER,0.357,5,0.235
111,Tennessee,200,ALEXANDER,0.331,0,-0.287
110,louisiana,200,ALEXANDER,0.357,5,0.235
110,Tennessee,200,ALEXANDER,0.331,0,-0.287
109,louisiana,200,ALEXANDER,0.357,5,0.235
109,Tennessee,200,ALEXANDER,0.331,0,-0.287
108,louisiana,100,ALEXANDER,-0.088,5,0.781
108,Tennessee,200,ALEXANDER,0.331,0,-0.287
110,Colorado,200,ALLARD,0.576,0,-0.129
109,Colorado,200,ALLARD,0.576,0,-0.129
108,Colorado,200,ALLARD,0.576,0,-0.129
107,Colorado,200,ALLARD,0.576,0,-0.129
106,Colorado,200,ALLARD,0.576,0,-0.129
105,Colorado,200,ALLARD,0.576,0,-0.129
104,Colorado,200,ALLARD,0.576,4,-0.129
103,Colorado,200,ALLARD,0.576,4,-0.129
110,MAINE,100,ALLEN,-0.431,1,-0.145
109,MAINE,100,ALLEN,-0.431,1,-0.145
109,Virginia,200,ALLEN,0.417,0,-0.044
108,MAINE,100,ALLEN,-0.431,1,-0.145
108,Virginia,200,ALLEN,0.417,0,-0.044
107,MAINE,100,ALLEN,-0.431,1,-0.145
107,Virginia,200,ALLEN,0.417,0,-0.044
106,MAINE,100,ALLEN,-0.431,1,-0.145
105,MAINE,100,ALLEN,-0.431,1,-0.145
112,Pennsylvania,100,ALTMIRE,-0.157,4,0.883
111,Pennsylvania,100,ALTMIRE,-0.157,4,0.883
110,Pennsylvania,100,ALTMIRE,-0.157,4,0.883
112,Michigan,200,AMASH,0.867,3,-0.498
112,NEVADA,200,AMODEI,0.463,2,-0.171
112,New Jersey,100,ANDREWS,-0.316,1,-0.179
111,New Jersey,100,ANDREWS,-0.316,1,-0.179
110,New Jersey,100,ANDREWS,-0.316,1,-0.179
109,New Jersey,100,ANDREWS,-0.316,1,-0.179
